rank,content_id,client_id,decline_probability,value_weighted_score,reason_code,action,archetype_id,days_since_last_update,impressions_90d,clicks_90d,ctr,avg_position,engagement_rate,click_equivalent_value,is_declining_label
1,content_3430a8b94511,client_19581e27de,0.4062545181768719,1442.5285431424368,large_page_regression_risk,MONITOR,1,104,152617,440,0.29,3.3,6.18,3550.8,0
2,content_251ab03c2530,client_b4944c6ff0,0.2347140957120637,811.3620331984189,large_page_regression_risk,MONITOR,0,20,79731,1239,1.55,3.7,9.93,3456.81,0
3,content_2db251d1a841,client_f369cb89fc,0.6603034808533776,748.4804076865377,large_page_regression_risk,MONITOR,0,20,198671,361,0.18,5.6,4.98,1133.54,0
4,content_adddad39251c,client_19581e27de,0.28179233486259925,669.1835292916089,large_page_regression_risk,MONITOR,1,104,129239,711,0.55,3.6,3.92,2374.74,0
5,content_e617a6dc2bf8,client_3fdba35f04,0.2358381726306146,599.6539296392323,large_page_regression_risk,MONITOR,0,26,131617,345,0.26,7.4,7.67,2542.65,1
6,content_979a999506bd,client_19581e27de,0.3122448565058571,546.9218457585291,large_page_regression_risk,MONITOR,1,104,67982,263,0.39,4.0,4.91,1751.58,1
7,content_0b77e1b7c3b0,client_6208ef0f77,0.32320494497485763,487.3768967748366,large_page_regression_risk,MONITOR,1,104,6246,135,2.16,10.6,3.47,1507.95,0
8,content_8451fc6f034d,client_d029fa3a95,0.4369201379705605,462.37073600734567,past_visibility_peak,MONITOR,0,20,272144,75,0.03,2.3,2.02,1058.25,0
9,content_7600c510155a,client_6208ef0f77,0.24127314883322531,438.2485475406705,large_page_regression_risk,MONITOR,1,104,32767,190,0.58,21.1,1.08,1816.4,1
10,content_c812024bf065,client_19581e27de,0.24845909981184372,433.4915606237199,large_page_regression_risk,MONITOR,0,22,138294,386,0.28,5.1,3.78,1744.7199999999998,0
11,content_9c092b92eab3,client_6208ef0f77,0.47420605327773974,421.5502131217795,large_page_regression_risk,MONITOR,1,104,9751,48,0.49,21.1,1.39,888.96,0
12,content_b392784ffbfa,client_6208ef0f77,0.4190907340599641,418.7135523993101,large_page_regression_risk,MONITOR,1,104,14485,103,0.71,27.6,3.49,999.0999999999999,0
13,content_c50f7184f0fb,client_6208ef0f77,0.5376579499785883,417.23869892188384,large_page_regression_risk,MONITOR,1,104,31442,71,0.23,20.1,3.86,776.03,0
14,content_83163890c43a,client_19581e27de,0.5141759214195201,413.0889352684424,large_page_regression_risk,MONITOR,1,104,29822,130,0.44,3.1,4.65,803.4,1
15,content_65c12751b84f,client_19581e27de,0.49365047327292605,412.93862089280265,large_page_regression_risk,MONITOR,0,20,97828,239,0.24,4.7,1.57,836.5,0
16,content_1988d2e57d92,client_b4944c6ff0,0.650805877960822,410.3721544069759,past_visibility_peak,MONITOR,0,20,35574,112,0.31,4.1,17.44,630.56,1
17,content_68573149bb42,client_19581e27de,0.6846564867454553,334.53685255356436,past_visibility_peak,SCHEDULE_REVIEW,0,20,18502,22,0.12,5.8,0.0,488.62,1
18,content_2134dae47694,client_3fdba35f04,0.34616404298732156,325.9861409215906,past_visibility_peak,MONITOR,0,26,11038,77,0.7,8.6,10.28,941.71,0
19,content_8180f9c9cbf0,client_3fdba35f04,0.21891370247823885,318.05534005658365,large_page_regression_risk,MONITOR,0,26,73667,254,0.34,8.3,7.89,1452.8799999999999,1
20,content_a04d5e2e74fd,client_19581e27de,0.4777666531708422,303.85959141665563,large_page_regression_risk,MONITOR,1,104,69442,318,0.46,6.0,12.07,636.0,1
21,content_0073196442b4,client_4e07408562,0.24653038014431217,302.50510295607825,large_page_regression_risk,MONITOR,0,25,65343,485,0.74,8.5,6.37,1227.05,0
22,content_eca19e020f91,client_b4944c6ff0,0.30236893144370425,292.5721780649282,large_page_regression_risk,MONITOR,0,20,25978,590,2.27,3.7,9.74,967.5999999999999,0
23,content_b2580dc3fac0,client_6208ef0f77,0.34180995779041334,280.07907941346474,large_page_regression_risk,MONITOR,1,104,18377,340,1.85,5.4,2.11,819.4000000000001,1
24,content_0d3e14099b13,client_6208ef0f77,0.3438884546844552,270.8155969485553,large_page_regression_risk,MONITOR,1,104,18415,61,0.33,26.6,3.62,787.51,0
25,content_c5c1878dc06e,client_19581e27de,0.3416513907298774,269.68594178653603,large_page_regression_risk,MONITOR,1,104,72314,264,0.37,7.7,6.85,789.36,0
26,content_81925e48c532,client_3fdba35f04,0.4250561546792993,256.9464455036364,large_page_regression_risk,MONITOR,1,104,12789,130,1.02,4.9,4.51,604.5,1
